规范	定义类	定义名	成员类	成员名	候选BCD路径	状态	Chrome	Firefox	Safari
ANGLE_instanced_arrays	interface	ANGLE_instanced_arrays	const	VERTEX_ATTRIB_ARRAY_DIVISOR_ANGLE	api.ANGLE_instanced_arrays.VERTEX_ATTRIB_ARRAY_DIVISOR_ANGLE	BCD无同名路径			
ANGLE_instanced_arrays	interface	ANGLE_instanced_arrays	operation	drawArraysInstancedANGLE	api.ANGLE_instanced_arrays.drawArraysInstancedANGLE	直接命中	1	1	1
ANGLE_instanced_arrays	interface	ANGLE_instanced_arrays	operation	drawElementsInstancedANGLE	api.ANGLE_instanced_arrays.drawElementsInstancedANGLE	直接命中	1	1	1
ANGLE_instanced_arrays	interface	ANGLE_instanced_arrays	operation	vertexAttribDivisorANGLE	api.ANGLE_instanced_arrays.vertexAttribDivisorANGLE	直接命中	1	1	1
CSP	dictionary	CSPViolationReportBody	field	documentURL		非直接接口定义			
CSP	dictionary	CSPViolationReportBody	field	referrer		非直接接口定义			
CSP	dictionary	CSPViolationReportBody	field	blockedURL		非直接接口定义			
CSP	dictionary	CSPViolationReportBody	field	effectiveDirective		非直接接口定义			
CSP	dictionary	CSPViolationReportBody	field	originalPolicy		非直接接口定义			
CSP	dictionary	CSPViolationReportBody	field	sourceFile		非直接接口定义			
CSP	dictionary	CSPViolationReportBody	field	sample		非直接接口定义			
CSP	dictionary	CSPViolationReportBody	field	disposition		非直接接口定义			
CSP	dictionary	CSPViolationReportBody	field	statusCode		非直接接口定义			
CSP	dictionary	CSPViolationReportBody	field	lineNumber		非直接接口定义			
CSP	dictionary	CSPViolationReportBody	field	columnNumber		非直接接口定义			
CSP	enum	SecurityPolicyViolationEventDisposition				非直接接口定义			
CSP	interface	SecurityPolicyViolationEvent	constructor	constructor	api.SecurityPolicyViolationEvent.SecurityPolicyViolationEvent	直接命中	1	1	1
CSP	interface	SecurityPolicyViolationEvent	attribute	documentURI	api.SecurityPolicyViolationEvent.documentURI	直接命中	1	1	1
CSP	interface	SecurityPolicyViolationEvent	attribute	referrer	api.SecurityPolicyViolationEvent.referrer	直接命中	1	1	1
CSP	interface	SecurityPolicyViolationEvent	attribute	blockedURI	api.SecurityPolicyViolationEvent.blockedURI	直接命中	1	1	1
CSP	interface	SecurityPolicyViolationEvent	attribute	effectiveDirective	api.SecurityPolicyViolationEvent.effectiveDirective	直接命中	1	1	1
CSP	interface	SecurityPolicyViolationEvent	attribute	violatedDirective	api.SecurityPolicyViolationEvent.violatedDirective	直接命中	1	1	1
CSP	interface	SecurityPolicyViolationEvent	attribute	originalPolicy	api.SecurityPolicyViolationEvent.originalPolicy	直接命中	1	1	1
CSP	interface	SecurityPolicyViolationEvent	attribute	sourceFile	api.SecurityPolicyViolationEvent.sourceFile	直接命中	1	1	1
CSP	interface	SecurityPolicyViolationEvent	attribute	sample	api.SecurityPolicyViolationEvent.sample	直接命中	1	1	1
CSP	interface	SecurityPolicyViolationEvent	attribute	disposition	api.SecurityPolicyViolationEvent.disposition	直接命中	1	1	1
CSP	interface	SecurityPolicyViolationEvent	attribute	statusCode	api.SecurityPolicyViolationEvent.statusCode	直接命中	1	1	1
CSP	interface	SecurityPolicyViolationEvent	attribute	lineNumber	api.SecurityPolicyViolationEvent.lineNumber	直接命中	1	1	1
CSP	interface	SecurityPolicyViolationEvent	attribute	columnNumber	api.SecurityPolicyViolationEvent.columnNumber	直接命中	1	1	1
CSP	dictionary	SecurityPolicyViolationEventInit	field	documentURI		非直接接口定义			
CSP	dictionary	SecurityPolicyViolationEventInit	field	referrer		非直接接口定义			
CSP	dictionary	SecurityPolicyViolationEventInit	field	blockedURI		非直接接口定义			
CSP	dictionary	SecurityPolicyViolationEventInit	field	violatedDirective		非直接接口定义			
CSP	dictionary	SecurityPolicyViolationEventInit	field	effectiveDirective		非直接接口定义			
CSP	dictionary	SecurityPolicyViolationEventInit	field	originalPolicy		非直接接口定义			
CSP	dictionary	SecurityPolicyViolationEventInit	field	sourceFile		非直接接口定义			
CSP	dictionary	SecurityPolicyViolationEventInit	field	sample		非直接接口定义			
CSP	dictionary	SecurityPolicyViolationEventInit	field	disposition		非直接接口定义			
CSP	dictionary	SecurityPolicyViolationEventInit	field	statusCode		非直接接口定义			
CSP	dictionary	SecurityPolicyViolationEventInit	field	lineNumber		非直接接口定义			
CSP	dictionary	SecurityPolicyViolationEventInit	field	columnNumber		非直接接口定义			
EXT_blend_minmax	interface	EXT_blend_minmax	const	MIN_EXT	api.EXT_blend_minmax.MIN_EXT	BCD无同名路径			
EXT_blend_minmax	interface	EXT_blend_minmax	const	MAX_EXT	api.EXT_blend_minmax.MAX_EXT	BCD无同名路径			
EXT_color_buffer_float	interface	EXT_color_buffer_float			api.EXT_color_buffer_float	直接命中	1	1	1
EXT_color_buffer_half_float	interface	EXT_color_buffer_half_float	const	RGBA16F_EXT	api.EXT_color_buffer_half_float.RGBA16F_EXT	BCD无同名路径			
EXT_color_buffer_half_float	interface	EXT_color_buffer_half_float	const	RGB16F_EXT	api.EXT_color_buffer_half_float.RGB16F_EXT	BCD无同名路径			
EXT_color_buffer_half_float	interface	EXT_color_buffer_half_float	const	FRAMEBUFFER_ATTACHMENT_COMPONENT_TYPE_EXT	api.EXT_color_buffer_half_float.FRAMEBUFFER_ATTACHMENT_COMPONENT_TYPE_EXT	BCD无同名路径			
EXT_color_buffer_half_float	interface	EXT_color_buffer_half_float	const	UNSIGNED_NORMALIZED_EXT	api.EXT_color_buffer_half_float.UNSIGNED_NORMALIZED_EXT	BCD无同名路径			
EXT_disjoint_timer_query	typedef	GLuint64EXT				非直接接口定义			
EXT_disjoint_timer_query	interface	WebGLTimerQueryEXT			api.WebGLTimerQueryEXT	直接命中	1	0	0
EXT_disjoint_timer_query	interface	EXT_disjoint_timer_query	const	QUERY_COUNTER_BITS_EXT	api.EXT_disjoint_timer_query.QUERY_COUNTER_BITS_EXT	BCD无同名路径			
EXT_disjoint_timer_query	interface	EXT_disjoint_timer_query	const	CURRENT_QUERY_EXT	api.EXT_disjoint_timer_query.CURRENT_QUERY_EXT	BCD无同名路径			
EXT_disjoint_timer_query	interface	EXT_disjoint_timer_query	const	QUERY_RESULT_EXT	api.EXT_disjoint_timer_query.QUERY_RESULT_EXT	BCD无同名路径			
EXT_disjoint_timer_query	interface	EXT_disjoint_timer_query	const	QUERY_RESULT_AVAILABLE_EXT	api.EXT_disjoint_timer_query.QUERY_RESULT_AVAILABLE_EXT	BCD无同名路径			
EXT_disjoint_timer_query	interface	EXT_disjoint_timer_query	const	TIME_ELAPSED_EXT	api.EXT_disjoint_timer_query.TIME_ELAPSED_EXT	BCD无同名路径			
EXT_disjoint_timer_query	interface	EXT_disjoint_timer_query	const	TIMESTAMP_EXT	api.EXT_disjoint_timer_query.TIMESTAMP_EXT	BCD无同名路径			
EXT_disjoint_timer_query	interface	EXT_disjoint_timer_query	const	GPU_DISJOINT_EXT	api.EXT_disjoint_timer_query.GPU_DISJOINT_EXT	BCD无同名路径			
EXT_disjoint_timer_query	interface	EXT_disjoint_timer_query	operation	createQueryEXT	api.EXT_disjoint_timer_query.createQueryEXT	直接命中	1	0	0
