规范	定义类	定义名	部分	成员类	成员名	显式暴露
ANGLE_instanced_arrays	interface	ANGLE_instanced_arrays	0	const	VERTEX_ATTRIB_ARRAY_DIVISOR_ANGLE	Window,Worker
ANGLE_instanced_arrays	interface	ANGLE_instanced_arrays	0	operation	drawArraysInstancedANGLE	Window,Worker
ANGLE_instanced_arrays	interface	ANGLE_instanced_arrays	0	operation	drawElementsInstancedANGLE	Window,Worker
ANGLE_instanced_arrays	interface	ANGLE_instanced_arrays	0	operation	vertexAttribDivisorANGLE	Window,Worker
CSP	dictionary	CSPViolationReportBody	0	field	documentURL	
CSP	dictionary	CSPViolationReportBody	0	field	referrer	
CSP	dictionary	CSPViolationReportBody	0	field	blockedURL	
CSP	dictionary	CSPViolationReportBody	0	field	effectiveDirective	
CSP	dictionary	CSPViolationReportBody	0	field	originalPolicy	
CSP	dictionary	CSPViolationReportBody	0	field	sourceFile	
CSP	dictionary	CSPViolationReportBody	0	field	sample	
CSP	dictionary	CSPViolationReportBody	0	field	disposition	
CSP	dictionary	CSPViolationReportBody	0	field	statusCode	
CSP	dictionary	CSPViolationReportBody	0	field	lineNumber	
CSP	dictionary	CSPViolationReportBody	0	field	columnNumber	
CSP	enum	SecurityPolicyViolationEventDisposition	0			
CSP	interface	SecurityPolicyViolationEvent	0	constructor	constructor	Window,Worker
CSP	interface	SecurityPolicyViolationEvent	0	attribute	documentURI	Window,Worker
CSP	interface	SecurityPolicyViolationEvent	0	attribute	referrer	Window,Worker
CSP	interface	SecurityPolicyViolationEvent	0	attribute	blockedURI	Window,Worker
CSP	interface	SecurityPolicyViolationEvent	0	attribute	effectiveDirective	Window,Worker
CSP	interface	SecurityPolicyViolationEvent	0	attribute	violatedDirective	Window,Worker
CSP	interface	SecurityPolicyViolationEvent	0	attribute	originalPolicy	Window,Worker
CSP	interface	SecurityPolicyViolationEvent	0	attribute	sourceFile	Window,Worker
CSP	interface	SecurityPolicyViolationEvent	0	attribute	sample	Window,Worker
CSP	interface	SecurityPolicyViolationEvent	0	attribute	disposition	Window,Worker
CSP	interface	SecurityPolicyViolationEvent	0	attribute	statusCode	Window,Worker
CSP	interface	SecurityPolicyViolationEvent	0	attribute	lineNumber	Window,Worker
CSP	interface	SecurityPolicyViolationEvent	0	attribute	columnNumber	Window,Worker
CSP	dictionary	SecurityPolicyViolationEventInit	0	field	documentURI	
CSP	dictionary	SecurityPolicyViolationEventInit	0	field	referrer	
CSP	dictionary	SecurityPolicyViolationEventInit	0	field	blockedURI	
CSP	dictionary	SecurityPolicyViolationEventInit	0	field	violatedDirective	
CSP	dictionary	SecurityPolicyViolationEventInit	0	field	effectiveDirective	
CSP	dictionary	SecurityPolicyViolationEventInit	0	field	originalPolicy	
CSP	dictionary	SecurityPolicyViolationEventInit	0	field	sourceFile	
CSP	dictionary	SecurityPolicyViolationEventInit	0	field	sample	
CSP	dictionary	SecurityPolicyViolationEventInit	0	field	disposition	
CSP	dictionary	SecurityPolicyViolationEventInit	0	field	statusCode	
CSP	dictionary	SecurityPolicyViolationEventInit	0	field	lineNumber	
CSP	dictionary	SecurityPolicyViolationEventInit	0	field	columnNumber	
EXT_blend_minmax	interface	EXT_blend_minmax	0	const	MIN_EXT	Window,Worker
EXT_blend_minmax	interface	EXT_blend_minmax	0	const	MAX_EXT	Window,Worker
EXT_color_buffer_float	interface	EXT_color_buffer_float	0			Window,Worker
EXT_color_buffer_half_float	interface	EXT_color_buffer_half_float	0	const	RGBA16F_EXT	Window,Worker
EXT_color_buffer_half_float	interface	EXT_color_buffer_half_float	0	const	RGB16F_EXT	Window,Worker
EXT_color_buffer_half_float	interface	EXT_color_buffer_half_float	0	const	FRAMEBUFFER_ATTACHMENT_COMPONENT_TYPE_EXT	Window,Worker
EXT_color_buffer_half_float	interface	EXT_color_buffer_half_float	0	const	UNSIGNED_NORMALIZED_EXT	Window,Worker
EXT_disjoint_timer_query	typedef	GLuint64EXT	0			
EXT_disjoint_timer_query	interface	WebGLTimerQueryEXT	0			Window,Worker
EXT_disjoint_timer_query	interface	EXT_disjoint_timer_query	0	const	QUERY_COUNTER_BITS_EXT	Window,Worker
EXT_disjoint_timer_query	interface	EXT_disjoint_timer_query	0	const	CURRENT_QUERY_EXT	Window,Worker
EXT_disjoint_timer_query	interface	EXT_disjoint_timer_query	0	const	QUERY_RESULT_EXT	Window,Worker
EXT_disjoint_timer_query	interface	EXT_disjoint_timer_query	0	const	QUERY_RESULT_AVAILABLE_EXT	Window,Worker
